kind	sheet	sheet_unit	sheet_ability	type	project_unit	project_ability_or_score	issues	sheet_effect	project_description	marker
enemies	Топь	Тролль	Тролли не умирают	PARAM	Тролль	Тролли не умирают	урон таблица 0.2, проект 0; цели таблица 1, проект /Self	Я получаю 15% регенерации на 5 ходов	Тролль получает 15% регенерации на 5 ходов.	trolli_ne_umirayut
enemies	Топь	Леший	Ни шагу	PARAM	Леший	Ни шагу	цели таблица 1, проект 1234/Enemy	Цель не может передвигаться на 1 ход	Цель не может передвигаться на 1 ход.	
enemies	Топь	Леший	Ты принадлежишь лесу	PARAM	Леший	Ты принадлежишь лесу	цели таблица 34, проект 1234/Enemy	Вперед 2.	Тянет цель вперёд на 2 позиции.	ty_prinadlezhish_lesu
enemies	Море	Угорь	Оплетание	PARAM	Угорь	Оплетание	в таблице стойка, в ресурсе не stance	Цель вперед 1. Сбивает стойки. Если у цели не было стойки - оглушает цель	0.8 урона. Цель вперёд на 1. Сбивает стойки. Если у цели не было стойки — оглушает цель.	eel_entangle
enemies	Облака	Пегас	Небесная стрела	PARAM	Пегас	Небесная стрела	в таблице стойка, в ресурсе не stance	Сбивает стойку противника	1 урон. Сбивает стойку противника.	
enemies	Замок	Принцесса	В беде	PARAM	Принцесса	В беде	позиции таблица 234, проект 1234	Получаю метку провокации и 20 уклонения пока активна стойка	Стойка: накладывает на себя метку провокации и получает +20 уклонения, пока активна.	
enemies	Замок	Принцесса	Истерика	PARAM	Принцесса	Истерика	позиции таблица 1, проект 1234; цели таблица 1, проект 1234/Enemy	Себя назад 2. Если атака критическая - противник в стане	1 урон. Отталкивается назад на 2. При критическом ударе цель оглушается.	princess_hysteria
enemies	Замок	Мистический шут	Смертельный удар	PARAM	Мистический шут	Смертельный удар	позиции таблица 34, проект 1234	В начале следующего хода, нанесет атаку по случайному врагу. В случае попадания - урон будет равен 60% от текущего здоровья	Стойка: в начале следующего хода атакует случайного врага, нанося 60% его текущего здоровья.	
enemies	Замок	Мистический шут	Ядовитый кинжал	PARAM	Мистический шут	Ядовитый кинжал	позиции таблица 12, проект 1234; урон таблица 1, проект 0.8; цели таблица 12, проект 1234/Enemy	Цель получает 0,2 периодического урона на 5 ходов	0.8 урона. Цель получает периодический урон (20% от урона) на 5 ходов.	jester_poison_dagger
enemies	Замок	Рыцарь	Изгнать зло	PARAM	Рыцарь	Изгнать зло	позиции таблица 12, проект 1234; цели таблица 12, проект 1234/Enemy	Снимает с цели все положительные эффекты. Если их было больше 2 уникальных - цель попадает в стан	0.5 урона. Снимает все положительные эффекты с цели. Если снято более 2 уникальных баффов — цель оглушается.	knight_banish_evil
enemies	Замок	Рыцарь	Отважный удар	PARAM	Рыцарь	Отважный удар	позиции таблица 12, проект 1234; цели таблица 12, проект 1234/Enemy	Если союзник погибал в этот раунд - эта атака будет критической	1 урон. Если в этом раунде погиб союзник — удар становится критическим.	knight_brave_strike
enemies	Замок	Рыцарь	Сила превыше магии	PARAM	Рыцарь	Сила превыше магии	позиции таблица 34, проект 1234	Увеличивает стоимость заклинаний еще на 2, и получает 15 брони - пока активна стойка. Вперед 1.	Стойка: +15 брони, пока активна. Стоимость всех заклинаний возрастает на 2. Продвигается вперёд на 1.	
enemies	Замок	Волшебник	Армагеддон	PARAM	Волшебник	Армагеддон	позиции таблица 4, проект 1234	В начале следующего раунда наношу 0,8 урона всем другим юнитам, союзникам или врагам	Стойка: в начале следующего раунда наносит 0.8 урона ВСЕМ остальным юнитам (союзникам и врагам).	
enemies	Замок	Волшебник	Волшебная стрела	PARAM	Волшебник	Волшебная стрела	позиции таблица 23, проект 1234; цели таблица 34, проект 1234/Enemy	Эта атака не может промахнуться	1 урон. Никогда не промахивается.	wizard_magic_arrow
enemies	Замок	Волшебник	Кольцо холода	PARAM	Волшебник	Кольцо холода	позиции таблица 1, проект 1234; цели таблица 1, проект 1234/Enemy	Цель +1. Цели теряют 4 инициативы на 1 ход, и с вероятностью 50% получают стан	0.2 урона по цели и соседнему юниту. Цели теряют 4 инициативы на 1 ход. 50% шанс оглушения.	wizard_cold_ring
enemies	Замок	Стражник	Не безобразничать!	PARAM	Стражник	Не безобразничать!	позиции таблица 123, проект 1234; цели таблица 12, проект 1234/Enemy	Цель получает -15 атаки на 2 хода. Цель толкается назад 1	1 урон. Цель теряет 15 атаки на 2 хода и отталкивается на 1.	
enemies	Замок	Стражник	Отлынивать	PARAM	Стражник	Отлынивать	позиции таблица 4, проект 1234	Восстанавливаю 15% здоровья, получаю 15 уклонения на 2 хода	Восстанавливает 15% HP и получает +15 уклонения на 2 хода.	
enemies	Замок	Инквизитор	Исповедь	PARAM	Инквизитор	Исповедь	позиции таблица 234, проект 1234	Снимает с союзника дебаффы, за каждый восстанавливает 5% здоровья	Снимает все отрицательные эффекты с союзника. Восстанавливает 5% HP за каждый снятый дебафф.	inquisitor_confession
enemies	Замок	Инквизитор	Священная кара	PARAM	Инквизитор	Священная кара	позиции таблица 1, проект 1234; цели таблица 1, проект 1234/Enemy	Наносит Дополнительно 0,5 урона за каждого убитого союзника с начала боя	0.8 урона. +0.5 урона за каждого погибшего союзника с начала боя.	inquisitor_holy_judgment
enemies	Звезды	Дева	Звездопад	PARAM	Дева	Звездопад	позиции таблица 23, проект 34; цели таблица 23, проект 12/Enemy	Цель +1. Все юниты получают удачу +10 на 2 хода	Описание	virgo_starfall
enemies	Тоннели	Дварф воин	Поднять щиты	NO_ABILITY	Нага воин	0				
enemies	Тоннели	Дварф воин	Удар молотом	NO_ABILITY	Нага воин	0				
enemies	Тоннели	Дварф кузнец	Пламя горнила	PARAM	Гном кузнец	Пламя горнила	цели таблица 1, проект 12/Enemy	Цель +2. Противники получают 0,15 периодического урона на 2 хода. Себя назад 1	Описание	
enemies	Тоннели	Великан воин	Удар колонной	PARAM	Каменный великан воин	Удар колонной	цели таблица 1, проект 12/Enemy	Эта атака имеет минус 30 точности	Описание	
enemies	Тоннели	Великан Шаман	Землятресение	PARAM	Каменный великан шаман	Землятрясение	цели таблица 12, проект 1234/Enemy	Цель +1. Цели теряют 15 точности и 15 уклонения на 2 хода	Описание	
enemies	Тоннели	Валун	Пассивка	NO_ABILITY	Валун	0				
enemies	Сад	Фея шипов	Колючий куст	PARAM	Фея шипов	Колючий куст	цели таблица 12, проект 1234/Position	Когда союзника под маркой атакуют, атакующий получает 30% урона феи шипов. Марка висит 3 хода	Марка на позицию союзника (3 хода). Когда союзника под маркой атакуют, атакующий получает 30%% урона феи шипов.	thorn_bush
enemies	Хельхельм	Драуг налетчик	Двойной удар	PARAM	Драугр налетчик	Двойной удар	позиции таблица 12, проект 1; цели таблица 12, проект 1/Enemy	Плюс одна цель сзади	Описание	
enemies	Хельхельм	Драуг налетчик	Подсекающий удар	PARAM	Драугр налетчик	Калечащий удар	позиции таблица 1, проект 2; урон таблица 0.8, проект 0.7; цели таблица 1, проект 12/Enemy	Цель теряет 3 инициативы на 2 хода	Описание	
enemies	Хельхельм	Драуг налетчик	Каждый раз когда получает урон, получает + 10 меткости до конца боя	NO_ABILITY	Драугр налетчик	0.18				
enemies	Хельхельм	Драуг налетчик	Просто выбирает случайный удар из доступных	NO_ABILITY	Драугр налетчик	0.39				
enemies	Хельхельм	Драугр джаггернаут	Рваться в бой	NO_ABILITY	Драугр джаггернаут	0.28				
enemies	Хельхельм	Драугр джаггернаут	Каждый раз когда получает урон - получает +5 брони до конца боя	NO_ABILITY	Драугр джаггернаут	0.21				
enemies	Хельхельм	Драугр берсерк	Бешеный натиск	PARAM	Драугр берсерк	Бешеный натиск	урон таблица 0.8, проект 0.6	Толчок вперед +1. Нанеси себе 5% урона	Описание	
enemies	Хельхельм	Драугр берсерк	Слепая ярость	PARAM	Драугр берсерк	Слепая ярость	позиции таблица 1, проект 12	Цель + 1Получает 40 дебафф к меткости.	Описание	
enemies	Хельхельм	Драугр берсерк	Каждый раз когда получает урон - получает +5% урона до конца боя	NO_ABILITY	Драугр берсерк	0.2				
enemies	Хельхельм	Банши	Когда меня убили, на 1 ход противники получают 20 атаки	NO_ABILITY	Банши	0.17				
enemies	Хельхельм	Йотун	Пока жив хотя бы один йотун - шанс наступления туманного раунда удваивается	NO_ABILITY	Йотун	0.19				
enemies	Хельхельм	Виндиго	Разорвать	PARAM	Индиго	Разорвать	позиции таблица 123, проект 1234; цели таблица 1, проект 1234/Enemy	Цель+1. Цель теряет 10 брони на 2 хода	Описание	
enemies	Хельхельм	Виндиго	Взять след	PARAM	Индиго	Взять след	цели таблица 123, проект 1234/Self	"Получает +10 атаки и 10 точности на следующую атаку, если эта атака не ""Взять след"". Эффект стакается. Т.е. пока он на 4 позиции, будет бесконечно увеличивать атаку"	Описание	
enemies	Хельхельм	Виндиго	Во время туманного раунда получает +25 уклонения	NO_ABILITY	Индиго	0.14				
